RT,I
6.275,556.0
6.28,543.0
6.285,518.0
6.29,507.0
6.295,485.0
6.3,527.0
6.305000000000001,598.0
6.3100000000000005,545.0
6.3149999999999995,464.0
6.319999999999999,534.0
6.325,571.0
6.33,510.0
6.335,499.0
6.34,493.0
6.345,522.0
6.35,575.0
6.355,560.0
6.36,558.0
6.364999999999999,587.0
6.37,560.0
6.375,486.0
6.38,494.0
6.385000000000001,509.0
6.39,462.0
6.395,423.0
6.4,460.0
6.405,526.0
6.41,524.0
6.415,490.0
6.42,497.0
6.425,553.0
6.430000000000001,583.0
6.4350000000000005,545.0
6.4399999999999995,554.0
6.444999999999999,621.0
6.45,657.0
6.455,578.0
6.46,512.0
6.465,557.0
6.47,572.0
6.475,524.0
6.48,514.0
6.485,504.0
6.489999999999999,483.0
6.495,518.0
6.5,541.0
6.505,488.0
6.510000000000001,492.0
6.515,524.0
6.52,542.0
6.525,563.0
6.53,575.0
6.535,636.0
6.54,735.0
6.545,850.0
6.55,985.0
6.555000000000001,985.0
6.5600000000000005,854.0
6.5649999999999995,674.0
6.569999999999999,581.0
6.575,580.0
6.58,575.0
6.585,558.0
6.59,558.0
6.595,547.0
6.6,488.0
6.605,478.0
6.61,540.0
6.614999999999999,599.0
6.62,594.0
6.625,538.0
6.63,547.0
6.635000000000001,571.0
6.64,497.0
6.645,486.0
6.65,571.0
6.655,567.0
6.66,538.0
6.665,551.0
6.67,495.0
6.675,514.0
6.680000000000001,590.0
6.6850000000000005,526.0
6.6899999999999995,491.0
6.694999999999999,537.0
6.7,547.0
6.705,516.0
6.71,502.0
6.715,514.0
6.72,507.0
6.725,515.0
6.73,576.0
6.735,610.0
6.739999999999999,575.0
6.745,529.0
6.75,470.0
6.755,446.0
6.760000000000001,534.0
6.765,634.0
6.77,608.0
6.775,570.0
6.78,612.0
6.785,597.0
6.79,516.0
6.795,449.0
6.8,479.0
6.805000000000001,529.0
6.8100000000000005,487.0
6.8149999999999995,423.0
6.819999999999999,464.0
6.825,502.0
6.83,525.0
6.835,579.0
6.84,571.0
6.845,554.0
6.85,550.0
6.855,525.0
6.86,546.0
6.864999999999999,538.0
6.87,508.0
6.875,545.0
6.88,568.0
6.885000000000001,546.0
6.89,535.0
6.895,532.0
6.9,540.0
6.905,516.0
6.91,487.0
6.915,482.0
6.92,486.0
6.925,534.0
6.930000000000001,608.0
6.9350000000000005,582.0
6.9399999999999995,519.0
6.944999999999999,504.0
6.95,513.0
6.955,532.0
6.96,531.0
6.965,533.0
